fM,fPt
1.8852404,4.1706505
1.8748399,4.200683
1.8485019,4.8299584
1.6752568,4.0592327
1.750822,4.103866
1.808728,4.8692284
1.834065,4.3005433
1.7315215,4.074793
1.7241142,4.1607475
1.6799008,4.2664976
1.8925343,4.8843846
1.8527728,4.969932
1.7805843,4.340768
1.8512335,4.9807663
1.8988851,4.3075533
1.743306,4.6040425
1.9959928,4.014679
2.010721,4.2606683
1.7756904,4.7831345
1.7009813,4.4314327
1.8525887,4.6621327
1.7220212,4.3475275
1.8393674,4.160221
1.7288158,4.1106763
1.679418,4.749121
1.8670038,4.3568764
1.7029364,4.8355584
1.7041048,4.8594437
1.7878646,4.724404
1.851889,4.350286
1.8166679,4.393956
1.6973554,4.0104413
1.9911976,4.568034
1.7238629,4.4605455
1.8021783,4.1173506
1.8575764,4.2779846
1.7008212,4.2779846
1.7899556,4.1141105
1.8570151,4.672731
1.8154625,4.962552
1.8697188,4.7688336
1.6918619,4.424194
1.7607028,4.9256916
1.6867057,4.734999
1.9089006,4.9923863
1.8664838,4.0395427
1.7055715,4.0513535
1.7665602,4.0225153
1.7480292,4.3657174
1.7478526,4.6343646
1.8338133,4.549991
1.9623225,4.3645377
1.8402139,4.1030135
2.0388834,4.1030135
1.8930068,4.375247
1.9184074,4.375247
1.9287018,4.061568
1.8498961,4.7609515
1.7221317,4.0227
1.6771158,4.548268
2.0527616,4.292382
1.8712099,4.292382
1.9786557,4.0814376
1.8564558,4.089177
1.9420329,4.8275394
1.8461276,4.565064
1.7547903,4.556923
1.95795,4.556923
1.772641,4.414631
1.8736581,4.167352
2.035366,4.897355
2.0399761,4.1972475
1.6871141,4.9085937
1.8652233,4.5670576
1.8573562,4.308929
1.7613635,4.630051
1.8489016,4.0538936
1.9106344,4.0538936
1.9153707,4.0417266
1.7562774,4.18871
1.9881201,4.4168983
1.8810278,4.8791776
1.6880531,4.003346
1.8529869,4.7091756
1.7599424,4.1506815
2.038407,4.0961375
1.9772799,4.2169495
1.8869609,4.3450184
1.6713624,4.1218076
1.8780005,4.616331
1.843257,4.643729
1.7668685,4.300179
1.8157943,4.618909
1.7021843,4.214949
1.8698444,4.493662
1.9238861,4.349266
1.9316208,4.569695
1.7555761,4.6335588
1.7032729,4.2101517
1.846239,4.233973
1.680865,4.9205756
1.6842476,4.5759716
1.828826,4.2015147
1.9897858,4.6699047
1.8775344,4.6810956
1.7596378,4.9116926
1.7026162,4.506502
1.7779082,4.0276675
1.8746047,4.3646564
1.9144925,4.7918625
1.698844,4.230191
1.789414,4.143725
1.7739679,4.1564875
1.892456,4.0434537
1.683391,4.005328
1.7199202,4.219706
1.7798336,4.4884815
1.9271035,4.112503
1.7393937,4.192204
1.8599895,4.165813
1.9814678,4.5700073
1.8354956,4.798297
1.8758004,4.0879445
2.0489342,4.0879445
1.677918,4.43775
1.9334298,4.498391
1.9824117,4.8043795
1.9306282,4.2257257
2.0059783,4.254944
1.7750949,4.5741563
1.8364741,4.07771
1.7964537,4.9190865
1.7166337,4.3470078
1.9160899,4.3470078
1.8376564,4.5055056
1.8534791,4.1364517
1.6953984,4.09448
1.7656387,4.4993086
1.8986433,4.6087985
1.8529772,4.29484
1.9020288,4.043314
1.8686529,4.9828534
1.7422954,4.1513195
1.7126184,4.8605757
1.6891911,4.3846374
1.8474767,4.0757313
1.8717928,4.38347
1.7521985,4.6752596
1.8526843,4.8247967
1.9361663,4.6701155
1.700171,4.3828983
1.784838,4.778094
1.7434734,4.1081214
1.689579,4.8507123
1.7439835,4.644445
1.6711756,4.2301006
1.8705909,4.958185
1.772525,4.025387
1.9207507,4.6990557
1.7028371,4.480364
1.6800501,4.596621
1.8842294,4.2498155
1.7241236,4.165021
1.8789158,4.165021
1.9588042,4.521952
1.9804235,4.229628
1.8452699,4.2424693
1.9145511,4.1275897
1.8788344,4.1344676
1.718412,4.194829
1.7269862,4.4696164
1.8488021,4.8698506
1.8728122,4.148823
1.9120562,4.1046495
1.7142587,4.466181
1.7655858,4.7132726
1.9042826,4.7132726
2.013322,4.8000197
1.7240336,4.0843573
1.86781,4.1821365
1.8553524,4.034735
1.7641168,4.588888
1.707848,4.1278715
1.8735478,4.5020247
1.71035,4.138078
1.7748787,4.138078
1.6851996,4.9709177
1.7456163,4.642061
1.6898043,4.339222
1.804036,4.247036
1.7138273,4.2194047
1.9954964,4.1133657
1.7722749,4.1133657
1.8649479,4.080403
1.7254572,4.080403
1.719817,4.9562774
1.8022692,4.301807
1.8592893,4.558036
1.8037833,4.302948
1.7549515,4.3145638
1.9964027,4.310845
1.8070776,4.310845
1.7265726,4.26679
1.6807613,4.916458
1.8415977,4.5024414
1.7036058,4.4892178
1.7141871,4.246013
1.8459774,4.112214
1.7452047,4.4889526
1.8802396,4.4565945
1.9129735,4.751583
1.9379936,4.7045054
1.6790255,4.593889
1.8935806,4.22223
1.803422,4.22223
1.8680134,4.5599713
1.8353292,4.273028
1.7264256,4.098077
1.7519811,4.0064807
1.8544499,4.9044285
1.8952576,4.9044285
1.8795531,4.1053653
1.7843349,4.090162
1.8494923,4.6428366
1.6766676,4.6428366
1.9086727,4.2278147
1.8448161,4.9026303
1.8388772,4.074904
1.709125,4.5953336
1.8475566,4.7532845
1.7111014,4.036214
1.7295265,4.292421
1.7355597,4.4672604
1.805201,4.3320975
1.7896987,4.096479
1.9606171,4.1719904
1.7230492,4.2756896
2.0053022,4.124777
1.7842369,4.533808
1.7869495,4.3757095
2.0235298,4.367526
