fM,fPt
1.7578545,2.2402992
1.6874117,2.2884674
1.7409545,2.245119
1.719415,2.3470907
1.6865566,2.3876326
1.7148643,2.4024496
1.9840034,2.4140673
1.7291234,2.3561924
1.6929787,2.303473
1.9509897,2.2597003
1.9150112,2.2597003
1.7865139,2.3198452
1.7917026,2.3008847
1.7237104,2.2063775
1.682811,2.2377157
1.6874654,2.292521
1.7691077,2.4564927
1.6808045,2.2376263
2.0086074,2.3582394
1.7511685,2.234984
1.7698096,2.2497795
1.811173,2.2400272
1.8654765,2.4066665
1.7369596,2.4382167
1.8174078,2.2870333
1.8285184,2.242789
1.9827765,2.4614522
1.6957227,2.2637422
1.6884145,2.21103
1.7683209,2.21103
1.704279,2.3563585
1.7817035,2.4959335
1.8430663,2.409387
1.9066291,2.2600527
1.8423625,2.3935535
1.963575,2.4324348
1.8691902,2.4324348
1.7218856,2.389865
1.7056934,2.258739
1.8812783,2.427361
1.9872013,2.427361
1.6783159,2.485108
1.9391547,2.2950473
1.8585819,2.4385207
1.7296973,2.334233
1.7223572,2.2851017
1.7190294,2.4373982
1.9489269,2.4906387
1.8945202,2.4549668
1.7708254,2.436927
1.7297693,2.2153022
2.0101197,2.4929075
1.9134384,2.2482104
2.0312335,2.2970235
2.0277925,2.2985585
1.6728905,2.3763034
1.8659247,2.3234177
1.8611231,2.3234177
1.9539433,2.393414
1.7848458,2.3192906
1.7226954,2.230279
1.944205,2.4647214
2.0348597,2.3368738
1.8801761,2.352228
1.9275879,2.376067
1.724236,2.275678
1.8569674,2.2085724
1.9446962,2.351176
1.7257988,2.4215763
1.8441802,2.4144
1.8000855,2.3682227
2.013052,2.4725199
2.0095975,2.2859228
1.9664043,2.2859228
1.6883513,2.2389324
1.7351367,2.441171
1.9259415,2.4742198
1.8700856,2.4898853
1.81458,2.3374586
1.7665975,2.2695127
1.7609903,2.479639
1.8200285,2.2959795
1.8115985,2.3256154
1.9588294,2.2794168
1.9095546,2.2794168
1.7459674,2.2416732
1.7052,2.2833161
1.8382628,2.4946373
1.6730762,2.2832203
1.7586575,2.319524
1.7695498,2.4571612
1.890374,2.4890306
1.8097775,2.2163703
1.8882172,2.2469044
1.8890808,2.4526463
1.7017295,2.431847
1.7170491,2.3663769
1.8759304,2.4996107
1.778864,2.3760285
1.9707361,2.318407
1.7829847,2.267515
2.0198855,2.250841
1.9835066,2.250841
1.868108,2.3748631
1.8286688,2.3785455
1.9022927,2.3785455
1.8057427,2.3734343
2.0324092,2.3900003
1.9837557,2.2431426
1.7542185,2.216785
1.8922132,2.4718554
1.8717748,2.3463085
1.8040533,2.241874
1.7413677,2.3039224
1.71662,2.3413675
1.8924274,2.3245373
1.7315484,2.3977609
1.7971381,2.2190328
1.7124792,2.4097595
1.8621248,2.3083613
1.7739319,2.3083613
1.8770406,2.2608504
1.6911917,2.351137
2.028995,2.22566
1.9696279,2.3565972
1.8321869,2.2466254
1.8269354,2.2769911
2.0269551,2.4564538
2.0089536,2.355713
1.7430681,2.2919333
1.6832885,2.2138207
1.736048,2.2074096
1.7773535,2.2074096
1.9468613,2.3212101
1.900426,2.2279205
1.8486619,2.2279205
1.7096629,2.3889787
1.690422,2.302184
1.8829584,2.2739823
2.058273,2.3292603
2.0394871,2.4105463
1.7966459,2.2959046
1.7791494,2.2579434
1.8248007,2.2455409
1.9207951,2.4030268
1.8264129,2.2281964
1.930236,2.4489634
1.7749287,2.3925233
1.9647174,2.38524
1.9751383,2.38524
1.8677336,2.494664
1.6970681,2.387377
1.7436512,2.320877
1.9323932,2.2690773
1.7285997,2.4365442
