,Index,Interval,Background cut,Beauty cut,Signal cut,Efficiency,Beauty Efficiency
0,0,"(0, 2.2)",0.573773598775071,0.5622444550434134,0.7150150338711432,0.002598087620255517,0.00110179420977035
1,1,"(2.2, 2.35)",0.11882470757179599,0.8315402449447628,0.5287327259619246,0.006785413072272418,0.004243804275297084
2,2,"(2.35, 2.5)",0.15575577928421513,0.860768332738543,0.5550061178870265,0.008386714667919914,0.005109556701283471
3,3,"(2.5, 2.7)",0.12169274570190869,0.3760560911065842,0.6513422443443636,0.005604000477705624,0.002713318220835913
4,4,"(2.7, 2.9)",0.2792619240533068,0.48033348343653287,0.5615572561007977,0.013497924247306179,0.006973806189781505
5,5,"(2.9, 3.1)",0.3415220509792085,0.5658620652140475,0.49955677937978094,0.017947379889265754,0.009544864854136765
