fM,fPt
2.4776998,3.657906
2.2678921,3.6445858
2.1551719,3.5971062
2.461055,3.5520382
2.1021125,3.7166378
2.4859807,3.6425073
2.3731792,3.5748858
2.1681206,3.5283585
2.373102,3.7881274
2.421045,3.7908573
2.428899,3.5455773
2.20881,3.7594886
2.5381324,3.7293258
2.2392395,3.6718037
2.3054073,3.6499867
2.2026434,3.7965353
2.3338566,3.6799946
2.2050543,3.5150065
2.2156153,3.5058181
2.1266649,3.6873102
2.1574214,3.5376832
2.1410413,3.7577019
2.176805,3.5002365
2.4973311,3.6955075
2.3133342,3.702153
2.2072716,3.702153
2.1156878,3.5768802
2.4911263,3.5724695
2.256135,3.6984982
2.3610868,3.6445918
2.3935125,3.6790562
2.3737853,3.6940637
2.4027243,3.601345
2.5456161,3.5144987
2.5348854,3.6006925
2.3139029,3.6359808
2.2417586,3.6726434
2.397711,3.787969
2.48557,3.5157754
2.2326665,3.7114065
2.320868,3.7096004
2.3080676,3.6360805
2.4225228,3.6360805
2.2438164,3.607643
2.525251,3.7322528
2.1711879,3.7097821
2.3346303,3.7037961
2.3205636,3.6466205
2.1104102,3.6919904
2.306729,3.6607769
2.3059905,3.6607769
2.2750344,3.7204778
2.1156232,3.7204778
2.3352015,3.5950365
2.2713022,3.7672207
2.4539208,3.5307775
2.1726747,3.6773567
2.2936335,3.6661198
2.1218398,3.5567296
2.4513462,3.545591
2.2368445,3.7576153
2.2641447,3.7751207
2.183073,3.5615914
2.1453304,3.7397494
2.2674346,3.5580847
2.4682653,3.5053995
2.2646024,3.537901
2.109694,3.6935275
2.2046676,3.525439
2.1012554,3.794741
2.1470184,3.7267518
2.2637415,3.743674
2.2446895,3.5031679
2.28633,3.6330023
2.434308,3.7479658
2.1032228,3.6190636
2.2483115,3.6227882
2.180833,3.6868355
2.4132679,3.5161562
2.3996735,3.5161562
2.3104243,3.529648
2.287594,3.691047
2.3005526,3.768669
2.3773794,3.5339515
2.3123865,3.6049714
2.1981983,3.6076686
2.398959,3.5385177
2.3380005,3.657794
2.213212,3.6031816
2.150055,3.5461009
2.1307025,3.5778172
2.1032329,3.6311667
2.127734,3.5248842
2.4180048,3.6807256
2.1375086,3.7160475
2.112449,3.6218598
2.124244,3.7895331
2.242283,3.79548
2.339062,3.621646
2.1481156,3.5444803
2.1388645,3.6455078
2.5256383,3.795702
2.5418813,3.6182811
2.2009747,3.707069
2.3038385,3.6378043
2.1205714,3.7519886
2.300509,3.6503968
2.114653,3.6768496
2.265069,3.6768496
2.2236185,3.704702
2.3452759,3.704702
2.1766164,3.7408984
2.201019,3.6487987
2.5373762,3.5158641
2.1426897,3.7181704
2.346627,3.5332572
2.1330385,3.5569801
2.1590517,3.6805747
2.342582,3.6642787
2.290612,3.6501772
2.3857138,3.5687292
2.2152886,3.5252843
2.2936513,3.6179118
2.272193,3.5064106
2.1411211,3.7010422
2.3502843,3.5972645
2.324389,3.5614915
2.3397033,3.6036315
2.4777951,3.7172403
2.3546546,3.5937536
2.1588097,3.520786
2.1832764,3.7159007
2.1267574,3.7109778
2.2962108,3.6256962
2.121997,3.705184
2.1271644,3.7588303
2.2990968,3.6931126
2.1017497,3.514667
2.4043148,3.612228
2.3503423,3.6382785
2.5135236,3.6136882
2.2215407,3.6160154
2.527806,3.6152978
2.1427763,3.6160338
2.2840102,3.72249
2.3961868,3.5856588
2.1310751,3.5413244
2.143153,3.6672702
2.2915695,3.760488
2.4252148,3.57472
2.206139,3.6916802
2.3090541,3.5180845
2.1528099,3.5180845
2.5203772,3.7621796
2.485545,3.5867486
2.130878,3.5270524
2.4754443,3.6765013
2.2539918,3.6806133
2.3936439,3.6997042
2.3928747,3.7492669
2.15113,3.662468
2.4653082,3.5244246
2.4826913,3.7681098
2.5075443,3.7159686
2.245039,3.610618
2.4094114,3.5562105
2.2482142,3.7734442
2.2015436,3.6505535
2.1938107,3.6828055
2.5340095,3.6097038
2.5290499,3.6097038
2.2213416,3.565211
2.3635187,3.5684612
2.1613405,3.5667772
2.3277287,3.6425235
2.1630964,3.6740623
2.490185,3.7894742
2.2813945,3.730044
2.1516986,3.5653217
2.3476021,3.583582
2.2354705,3.7763157
2.2393248,3.7774715
2.3615906,3.7835655
2.1733882,3.5361583
2.473572,3.778406
2.1829834,3.6800508
2.4702291,3.652781
2.3797767,3.554959
2.1859753,3.7902493
2.292437,3.5546741
2.2517095,3.6563475
2.2621772,3.534276
2.2244952,3.6750963
2.53897,3.768138
2.4920056,3.6509728
2.208059,3.6974132
2.31483,3.778612
2.2745447,3.6775298
2.246132,3.6775298
2.1725242,3.6180348
2.1796367,3.518204
2.32685,3.6130621
2.116055,3.7135184
2.1959653,3.5877311
2.4521565,3.5846074
2.417062,3.6808767
2.2864978,3.640427
2.3018987,3.7203162
2.1464083,3.5523305
2.1684823,3.7563038
2.4712129,3.500101
2.4406748,3.5016127
2.1363413,3.7800603
2.3009222,3.609535
2.1187954,3.6675637
2.1183324,3.6132154
2.251052,3.6055465
2.5081506,3.557226
2.3559866,3.6947129
2.1015604,3.506413
2.151978,3.5363073
2.3264189,3.6898015
2.1487525,3.742921
2.3218713,3.7697635
2.402151,3.546117
2.4040205,3.7759879
2.504921,3.508129
2.443061,3.7345867
2.1504319,3.660189
2.3831525,3.7404022
2.4337988,3.718526
2.233792,3.640167
2.2365124,3.5435438
2.1973467,3.6789632
2.2325592,3.6980884
2.3856955,3.618694
2.25965,3.539384
2.2028754,3.721006
2.2236419,3.5892813
2.145675,3.5309615
2.4220583,3.6543183
2.4521189,3.6259909
2.2963314,3.5353243
2.2811487,3.779168
2.307611,3.6589508
2.122166,3.6506238
2.190592,3.7923918
2.1082628,3.7250738
2.3235748,3.5246696
2.2063782,3.7043674
2.1696613,3.502808
2.192253,3.6696444
2.4892108,3.6266956
2.139154,3.6562083
2.1688995,3.6562083
2.3693445,3.717805
2.2328062,3.594882
2.122546,3.636294
2.1099749,3.5476267
2.150088,3.639929
2.2914376,3.7128117
2.264945,3.5641353
2.2998183,3.6627302
2.1083355,3.5800214
2.3539443,3.5218167
2.3083265,3.5309255
2.218875,3.7996042
2.2154176,3.5600958
2.4889083,3.7251334
2.4175706,3.5437875
2.3104002,3.5944939
2.3814,3.5944939
2.326709,3.5575333
2.3393936,3.5311692
2.1427188,3.5887594
2.128496,3.5650163
2.1778324,3.724753
2.249276,3.6479044
2.1616478,3.633893
2.2972755,3.6218824
2.1531637,3.6398413
2.173875,3.6270351
2.323509,3.6720238
2.2588477,3.7818158
2.1777165,3.5007236
2.1332486,3.7744184
2.1331005,3.7589338
2.3194237,3.7296064
2.149491,3.7343483
2.2845109,3.7680953
2.2835832,3.7544289
2.2040062,3.581954
2.1166205,3.5574138
2.1205144,3.7855809
2.3987858,3.5235946
2.4502718,3.7121272
2.3258216,3.7444446
2.364382,3.7748566
2.1851363,3.74812
2.1873047,3.7705326
2.1663947,3.6254008
2.1621556,3.602219
2.1084614,3.5426428
2.1656606,3.5701172
2.3360238,3.6187649
2.1097877,3.786323
2.1199522,3.6351829
2.355433,3.7529883
2.2979105,3.6596024
2.3841696,3.7794535
2.5325377,3.7415771
2.5144904,3.5104904
2.4768374,3.7195792
2.1133766,3.61085
2.1181493,3.7611217
2.148136,3.577991
2.243039,3.6577694
2.3859637,3.5589006
2.459121,3.7987525
2.1485178,3.6315644
2.2781668,3.5072682
2.1762695,3.7900906
2.2315276,3.7029426
2.3928075,3.696584
2.4219697,3.6695406
2.1482515,3.7771308
2.4761584,3.7248504
2.201474,3.63785
2.2498713,3.5818052
2.1474533,3.741349
2.2910223,3.5361955
2.2117076,3.790782
2.1848881,3.6119397
2.3024664,3.7369967
2.3009396,3.5987184
2.1682253,3.5474868
2.1292765,3.7723577
2.4387004,3.757682
2.11689,3.7885082
2.183155,3.7998545
2.2716453,3.7068553
2.3745265,3.695975
2.2827206,3.737582
2.1829984,3.6174328
2.3390012,3.5596108
2.466202,3.553889
2.176045,3.7341726
2.4515185,3.6749904
2.119089,3.6199374
2.374303,3.6731637
2.2339199,3.6765962
2.465728,3.7684522
2.3535109,3.7067933
2.5307746,3.5201335
2.2117054,3.5117133
2.508247,3.6209853
2.3139937,3.5805
2.1181118,3.7926214
2.2529588,3.6975234
2.3753874,3.787149
2.3713477,3.6038854
2.5083678,3.5327566
2.2384455,3.6310449
2.3533697,3.7988353
2.1032379,3.506315
