fM,fPt
2.0147862,1.317151
1.7958581,1.3658221
1.8388019,1.3658221
1.7676282,1.3098897
1.8657255,1.3618637
1.7076887,1.486967
1.7917928,1.3127578
1.8674256,1.3127578
1.772417,1.3018469
1.8468623,1.3026643
1.6719861,1.2971257
1.676981,1.3529258
1.8104947,1.3362516
1.9752213,1.4536783
1.6804415,1.3602017
1.6991359,1.3009769
1.7980635,1.4849179
1.840501,1.4465106
1.7634019,1.3741182
1.7674751,1.3490154
1.750496,1.3563745
1.7823701,1.4834114
1.8955934,1.3625424
1.8576534,1.3625424
1.7360483,1.300623
1.7299812,1.2910278
1.9553052,1.4940002
1.9609488,1.3317822
1.7263808,1.3372571
1.8809547,1.3362337
1.9036841,1.3107919
1.9518468,1.3107919
1.7348144,1.4574718
1.8555834,1.2979633
1.8345263,1.4629171
1.9427931,1.3984941
1.7624665,1.3118998
1.7246948,1.4474876
1.6964387,1.3789368
1.9432731,1.3053235
1.9276232,1.3053235
2.0294542,1.4613601
1.8775921,1.2719599
1.9768275,1.3677249
2.0338984,1.4197402
1.6806338,1.3318121
1.7381377,1.3073362
1.8135619,1.4685235
1.7476314,1.4685235
1.8056811,1.4618787
1.781928,1.4618787
1.955678,1.2679156
1.6855261,1.4525174
1.688214,1.3100402
1.6796281,1.3100402
1.7081007,1.3776286
1.6799334,1.3074701
1.6956577,1.3382025
1.8774378,1.2648236
1.9305339,1.4356891
1.7219203,1.3416564
1.8992988,1.2896125
1.6911526,1.2599028
1.6924642,1.3526956
1.7859486,1.4889398
1.7452258,1.3504227
1.6758289,1.4109405
1.9545057,1.2586001
1.811436,1.4527627
2.0394068,1.4176072
1.6959338,1.3419954
1.8972523,1.3147037
1.8095332,1.3739631
1.7697562,1.4348788
1.700449,1.4348788
1.7920778,1.3319478
1.9934307,1.2644951
1.9438132,1.4662129
1.8867631,1.2946495
1.8944786,1.2946495
1.7887193,1.3779113
1.9779012,1.384264
1.7607684,1.4680063
1.756446,1.4642327
1.7445098,1.2591938
1.7985705,1.2591938
1.747531,1.3435066
1.689358,1.4458067
1.7766533,1.4287056
1.9619143,1.3777922
1.8417813,1.2761803
1.7660396,1.3245654
1.8611264,1.2868311
1.7604083,1.3042288
1.8299882,1.3042288
1.6932261,1.3858399
2.0335798,1.4817964
2.0024288,1.3277072
2.0477417,1.3509037
1.7465208,1.440347
1.8394032,1.2959285
2.010052,1.3803807
1.9386649,1.3803807
1.7597176,1.4678923
1.6961924,1.4678923
2.053989,1.3963506
1.9472817,1.3227696
1.9864733,1.3877548
1.8846639,1.4812922
1.6858119,1.4519775
1.7048064,1.351119
1.8741927,1.4744825
1.7388761,1.4958185
1.7132664,1.3714938
1.756712,1.4460168
1.9025137,1.3580863
1.6980311,1.2782114
1.6897873,1.363773
1.7486244,1.4142475
1.8958733,1.3813143
1.8474804,1.2862713
1.8111615,1.4625177
1.9575049,1.4132345
1.9282436,1.4386821
1.7626364,1.3315907
1.9788833,1.4523579
1.7393317,1.4102991
1.8233794,1.495881
1.9445647,1.4398098
1.7882825,1.3680818
1.688937,1.40024
1.8339936,1.4754698
1.7998698,1.4754698
1.6915808,1.4343202
1.7937052,1.4742316
1.8596544,1.4742316
1.8471686,1.3267987
1.7634087,1.3448836
1.8332273,1.4505413
1.6955411,1.3988093
1.7696819,1.4974284
1.8276873,1.4974284
1.9521042,1.459672
2.0050535,1.264434
1.9454926,1.264434
1.6957271,1.2664306
1.6863561,1.4540255
1.9267468,1.3698165
1.9949917,1.3698165
1.7489268,1.4516674
1.7247125,1.4516674
1.6899017,1.3651383
1.7094353,1.4602691
1.8996109,1.4548472
1.915947,1.253137
1.809508,1.4572875
1.9360188,1.2647411
1.9543444,1.2665554
1.7905695,1.3227487
1.7661006,1.390932
2.0521002,1.3789809
1.9977386,1.2844721
1.7554303,1.272767
1.7183177,1.3916613
1.6704837,1.39981
2.0044363,1.3489453
1.8829905,1.4692826
1.700345,1.4649439
1.862843,1.2986501
1.9331348,1.4894328
1.7645004,1.4847848
1.9755338,1.2786365
1.8647987,1.48231
1.9612048,1.3189806
1.7142265,1.274359
1.7096393,1.4685748
1.7142186,1.3394713
