fM,fPt
2.2901683,2.4486382
2.1632693,2.4900086
2.2223406,2.4292374
2.1984522,2.477211
2.1887054,2.4672215
2.2388883,2.4968727
2.2333868,2.4748335
2.1320662,2.3941247
2.2748024,2.4681892
2.126707,2.413322
2.291247,2.3613966
2.176782,2.3652022
2.2513297,2.4057796
2.2646973,2.464364
2.4815214,2.365571
2.3525772,2.3671262
2.378646,2.422012
2.4114802,2.3828406
2.291784,2.4456959
2.494975,2.3549685
2.380144,2.388573
2.240966,2.3738317
2.1331031,2.4974935
2.1799703,2.3725178
2.286039,2.461484
2.50496,2.3886435
2.224813,2.4308589
2.2107177,2.393926
2.3080025,2.4429657
2.2199235,2.4636817
2.258192,2.4287195
2.3455434,2.4242535
2.3394325,2.463455
2.156512,2.4890945
2.386555,2.3847973
2.192412,2.4699385
2.3689146,2.3524952
2.13923,2.4866915
2.4784005,2.4173307
2.1772957,2.4796305
2.4951172,2.3569973
2.185512,2.378658
2.2740812,2.3973486
2.503579,2.456767
2.127906,2.3898258
2.1624212,2.3760138
2.1214297,2.4675968
2.11809,2.407878
2.5300503,2.4638674
2.3590856,2.3924866
2.2250764,2.4349518
2.2330844,2.3907843
2.2327113,2.3668008
2.1005065,2.3793032
2.3293283,2.39112
2.2047286,2.454058
2.3393755,2.4444473
2.3096886,2.4580538
2.1457212,2.4219348
2.2191815,2.4974544
2.188927,2.356707
2.4360657,2.4413216
2.2599385,2.4359093
2.2680352,2.489317
2.226099,2.4856665
2.5164976,2.477516
2.3976038,2.4583209
2.1772826,2.4862974
2.2191963,2.4420588
2.2372708,2.4704397
2.1462114,2.4432104
2.2453492,2.4649522
2.5213585,2.4072647
2.5204515,2.3595247
2.2060812,2.4818835
2.1630793,2.3868535
2.3671882,2.3789542
2.2318037,2.4254067
2.1172457,2.3741236
2.453347,2.4470375
2.168755,2.4310153
2.1158116,2.3593569
2.1020467,2.3921416
2.1579325,2.3968952
2.4424398,2.4605613
2.199842,2.4217513
2.2418656,2.439383
2.2216213,2.3673398
2.540784,2.350275
2.1590416,2.384636
2.3876464,2.4367917
2.3554769,2.3669524
2.2020917,2.362157
2.2304955,2.4260185
2.1937969,2.4277222
2.1359396,2.4029024
2.4275062,2.4440312
2.1607842,2.3710427
2.4397967,2.3747098
2.3484116,2.426091
2.3622828,2.4368844
2.1105876,2.3769605
2.2398126,2.454442
2.2014081,2.45492
2.2465215,2.4891157
2.1764038,2.398437
2.109076,2.4060628
2.2032118,2.4105122
2.2849066,2.4257197
2.1994693,2.489832
2.312616,2.4886408
2.1338255,2.4654472
2.1245112,2.4173052
2.480751,2.4724998
2.1433501,2.4395528
2.1284382,2.4694436
2.3019595,2.4656134
2.182736,2.4376466
2.4963388,2.494803
2.2352672,2.4222293
2.2678063,2.3629365
2.4813747,2.383038
2.511114,2.4254048
2.1049151,2.493893
2.2212174,2.4919684
2.241746,2.362052
2.3095677,2.4267693
2.485667,2.3808756
2.4823215,2.4024155
2.1129127,2.3920367
2.28059,2.4990819
2.4499815,2.488911
2.2816298,2.4904187
2.3919215,2.43761
2.109815,2.3687954
2.3305213,2.4079058
2.2405586,2.387671
2.1808472,2.362537
2.4969692,2.3628633
2.5005891,2.452505
2.2809114,2.4172294
2.1095197,2.4344304
2.1092994,2.4419951
2.323503,2.392319
2.129879,2.456769
2.201063,2.4055305
2.2465603,2.4020138
2.4068222,2.4202347
2.1516216,2.4141831
2.1272757,2.3918376
2.3276122,2.4334996
2.1831114,2.36239
2.3874075,2.474071
2.2706583,2.351482
2.227804,2.4700222
2.1444325,2.3925903
2.3320885,2.374084
2.1784012,2.420964
2.2921114,2.3841155
2.2673008,2.4367373
2.2252958,2.4045424
2.3977811,2.3845081
2.2716131,2.4615898
2.2980492,2.3758686
2.150585,2.48375
2.3581288,2.4102309
2.468546,2.4626033
2.5466826,2.39322
2.1641924,2.4001577
2.1821828,2.4470246
2.1830668,2.4389987
2.2178931,2.4944654
2.4710934,2.4492464
2.2864456,2.4237242
2.285874,2.4801927
2.13015,2.3915536
2.2220669,2.3919618
2.192019,2.4589338
2.143379,2.4152842
2.1685734,2.4831386
2.2425857,2.3739371
2.3741128,2.4036934
2.4733696,2.396391
2.2761135,2.4916413
2.2214184,2.4425576
2.4283595,2.4662457
2.3643537,2.3565426
2.178186,2.3749254
2.1841445,2.387382
2.1395762,2.4403553
2.389814,2.3968477
2.2948594,2.3777769
2.3214214,2.4843054
2.2729528,2.4073882
2.5050688,2.3817413
2.181078,2.395829
2.4033482,2.478321
2.169461,2.412095
2.2733433,2.3557754
2.146031,2.368559
2.3486462,2.4168074
2.216398,2.4761984
2.3483303,2.367626
2.1303327,2.3927553
2.1340628,2.3690574
2.285574,2.3987515
2.1109188,2.4530907
2.1333494,2.3592212
2.4036274,2.3746774
2.3991406,2.466217
2.216849,2.37105
2.296887,2.4824347
2.352372,2.4750204
2.525589,2.4584532
2.121721,2.4675393
2.1346266,2.3569238
2.2891066,2.499151
2.5243394,2.4074397
2.1771114,2.4708521
2.168878,2.4610682
2.340478,2.4659522
2.2557695,2.490845
2.2174156,2.4209201
2.182694,2.4631715
2.3139482,2.4802842
2.3300745,2.4998913
2.205877,2.4569051
2.210633,2.4920993
2.4489858,2.4250193
2.3775125,2.3568983
2.1294627,2.378943
2.2571526,2.473994
2.2048573,2.389221
2.4002752,2.4346735
2.3211408,2.4745426
2.2578826,2.4657054
2.1708324,2.431512
2.1685507,2.4464414
2.1821074,2.356288
2.1070845,2.4589126
2.4011042,2.4524367
2.2759688,2.3586667
2.2794533,2.380666
2.1772282,2.4279015
2.2202501,2.418507
2.283062,2.4368804
2.315299,2.414571
2.438733,2.4719791
2.3431027,2.3836627
2.2187595,2.4272573
2.180941,2.4061282
2.3437393,2.466921
2.2308626,2.3715668
2.1262302,2.3525658
2.3766572,2.4325755
2.3002992,2.4736693
2.1932387,2.424686
2.149962,2.3896432
2.1273658,2.4187543
2.2733445,2.4869483
2.2110138,2.4067726
2.3372104,2.463325
2.4947696,2.427451
2.188176,2.480623
2.3688376,2.436471
2.3531036,2.4466631
2.1853778,2.4289296
2.2442708,2.3639214
2.269321,2.4302332
2.3144624,2.371365
2.4633038,2.4148211
2.4898236,2.3793817
2.2572227,2.4609993
2.1278892,2.417648
2.5321395,2.4154015
2.137747,2.3994143
2.1333642,2.4999928
2.1228204,2.382851
2.5004442,2.4166658
2.1319742,2.443502
2.1128674,2.473237
2.129764,2.3893325
2.1162565,2.3584948
2.1185355,2.4817688
2.3143668,2.3755093
2.1652927,2.4533675
2.2505755,2.3774338
2.115551,2.3591886
2.2651312,2.4482787
2.2270465,2.4906635
2.1987455,2.4166558
2.1515782,2.479738
2.1993926,2.404753
2.1324203,2.4639375
2.1376364,2.4289057
2.2979681,2.4063888
2.2566416,2.356947
2.4519536,2.3787193
2.5021768,2.3774056
2.4955852,2.4624097
2.1323066,2.4269915
2.1338327,2.3823469
2.534588,2.3776793
2.3026383,2.355616
2.364906,2.3699675
2.1561801,2.3997333
2.1610548,2.4701276
2.1901388,2.4713168
2.1806238,2.4590642
2.3577657,2.4855812
2.1369505,2.439704
2.2055006,2.3891559
2.1145182,2.479547
2.134064,2.402158
2.4305942,2.4272168
2.4537208,2.458786
2.321591,2.4384465
2.2999508,2.373513
2.386215,2.498516
2.1313753,2.4685442
2.1893697,2.430345
2.318338,2.3575954
2.1381896,2.3512826
2.1508949,2.4677687
2.2077503,2.4667842
2.1315653,2.4617872
2.3980365,2.353988
2.3483672,2.4069555
2.325502,2.4350286
2.397183,2.4672885
2.4307795,2.380962
2.1937463,2.414122
2.4886734,2.4056544
2.3744705,2.4466004
2.1976483,2.4009538
2.421436,2.390436
2.1511483,2.4642036
2.4592676,2.3564234
2.1632204,2.4070225
2.2131293,2.3882627
2.1052423,2.4387977
2.1764338,2.4160075
2.1078417,2.39781
2.3594978,2.3949118
2.383762,2.4329162
2.5475724,2.4635782
2.1041307,2.490664
2.322396,2.4258065
2.4063635,2.4980438
2.3167648,2.3769636
2.2499976,2.372144
2.2751899,2.4521122
2.175351,2.361573
2.4411137,2.3737152
2.1422684,2.386497
2.138904,2.4119954
2.2201023,2.398428
2.150622,2.4959917
2.3769464,2.4769068
2.3342035,2.4225879
2.4266944,2.3857944
2.1053312,2.3639567
2.4833882,2.4624677
2.1019695,2.4216843
2.3102036,2.3792837
2.2700403,2.4019692
2.3414316,2.4218216
2.2582119,2.3600457
2.1487794,2.4340713
2.1574118,2.4555655
2.3118405,2.4326036
2.1795466,2.4285414
2.4058428,2.3947887
2.5187447,2.4640086
2.3236585,2.4982605
2.2800126,2.3574266
2.5410109,2.3665724
2.480088,2.4159179
2.1076267,2.4618409
2.4742522,2.4683046
2.4236073,2.3842602
2.1963236,2.3896902
2.2038426,2.3663585
2.2046766,2.4797869
2.366913,2.4409096
2.473987,2.3517127
2.1541057,2.371745
2.3412206,2.477591
2.156594,2.4383886
2.209983,2.3731039
2.1285398,2.45338
2.2895956,2.4052417
2.315942,2.3666573
2.1160755,2.389895
2.101497,2.4812934
2.3584456,2.4437475
2.164357,2.4200747
2.1922395,2.4069996
2.122872,2.4107425
2.2599103,2.4283092
2.377078,2.4219944
2.276576,2.3739414
2.2587497,2.4206305
2.1997538,2.4263048
2.2930486,2.406336
2.1931403,2.387098
2.430502,2.3789527
2.2370481,2.402868
2.3554835,2.373087
2.2852335,2.372091
2.330071,2.355852
2.5042226,2.443026
2.1072888,2.4073615
2.4492702,2.463753
2.1993952,2.3680127
2.2410872,2.3908613
2.239315,2.4868395
2.3127167,2.3769522
2.2227194,2.4113925
2.23182,2.3956113
2.152428,2.3986213
2.3125932,2.4258804
2.1211257,2.415781
2.1956074,2.4703438
2.18583,2.488711
2.459495,2.4068208
2.166216,2.3706577
2.1921883,2.3944695
2.5423896,2.3625026
2.1925066,2.3932185
2.516435,2.3887475
2.232759,2.499691
2.3036933,2.429062
2.109319,2.4237688
2.2926753,2.3846405
2.476081,2.4699535
2.4709642,2.446908
2.1583316,2.476298
2.2472043,2.4091527
2.1073809,2.3847976
2.2559578,2.4700081
2.1511722,2.4673107
2.3715189,2.372761
2.4662979,2.3556228
2.1915588,2.3918538
2.333557,2.3513966
2.4133787,2.4644206
2.2396622,2.367389
2.3542964,2.492282
2.3485904,2.4389913
2.1528506,2.41513
2.4203808,2.4047148
2.4133532,2.4032834
2.2907295,2.4476266
2.4190466,2.359267
2.315192,2.438788
2.5490117,2.4478457
2.1781018,2.366425
2.2131293,2.3635778
2.3361404,2.3990862
2.1465008,2.4801984
2.4079912,2.4412684
2.2288427,2.4377394
2.1417017,2.388169
2.331614,2.3891823
2.2907307,2.4137394
2.206063,2.402333
2.1586306,2.4095786
2.2412527,2.3738546
2.102398,2.3998408
2.1035311,2.4492178
2.324298,2.4104342
2.4945354,2.4087052
2.1677103,2.4729135
2.381849,2.4524846
2.4040794,2.393172
2.2126546,2.476835
2.2669837,2.4652565
2.1655064,2.4630733
2.1421957,2.4390888
2.3127089,2.367665
2.2750866,2.3804398
2.4084544,2.3947515
2.2445986,2.4225485
2.1577373,2.4654675
2.3522608,2.4186115
2.1253083,2.4136999
2.1348104,2.3694766
2.1457295,2.4644125
2.158314,2.435194
2.4326327,2.372847
2.5067153,2.4089334
2.147883,2.494805
2.2601175,2.4838688
2.3421144,2.481835
2.1801343,2.4956796
2.128421,2.4192045
2.1219127,2.4786606
2.1056547,2.3991537
2.1504867,2.351068
2.2157786,2.497772
2.1374826,2.4093704
2.1079535,2.3844905
2.156016,2.352014
2.1185744,2.368251
2.2096276,2.4567888
2.403296,2.494985
2.1701577,2.3726208
2.1312048,2.4188824
2.1962214,2.4140306
2.41143,2.4308403
2.3355083,2.3651125
2.2681656,2.3595617
2.294737,2.4261043
2.2918456,2.4424872
2.172846,2.4186392
2.1646092,2.41814
2.2134984,2.466105
2.1511354,2.3687341
2.1686132,2.4711661
2.313061,2.4412043
2.296761,2.3539362
2.376366,2.456808
2.2977376,2.4659553
2.1408114,2.363721
2.4385045,2.3720846
2.3305173,2.3641522
2.1741815,2.3903
2.1056125,2.4965744
2.368863,2.4426112
2.1887906,2.4767072
2.1273453,2.4990308
2.441722,2.4521427
2.1045134,2.4860623
2.2004983,2.4607024
2.327301,2.395079
2.2734692,2.4666862
2.1143823,2.3516548
2.1084657,2.3779209
2.4670215,2.399329
2.3602383,2.4011533
2.1976788,2.3989136
2.2115724,2.3906834
2.343947,2.461871
2.263964,2.4210517
2.144244,2.4572077
2.1303973,2.4239776
2.3899317,2.4965055
2.1507094,2.4319575
2.528523,2.380897
2.123783,2.4985821
2.3681989,2.4202898
2.2188156,2.4944942
2.281595,2.3657832
2.3142517,2.4561336
2.154995,2.4366446
2.547453,2.3725657
2.1567569,2.373421
2.110165,2.4772284
2.5123537,2.3689704
2.3363104,2.4713297
2.1454227,2.378083
2.3083596,2.3543472
2.458747,2.3814511
2.2931664,2.4965506
2.1225073,2.4118757
2.2051473,2.3644207
2.210835,2.4801896
2.367324,2.442945
2.178499,2.4278555
2.1422846,2.450315
2.1566024,2.499726
2.451409,2.41469
2.303787,2.369252
2.5272043,2.447494
2.2226374,2.3989296
2.1864727,2.3631356
2.3258786,2.428122
2.4808521,2.4997616
2.2078314,2.40736
2.493647,2.352226
2.2551622,2.4901075
2.1917484,2.4194727
2.2978232,2.38272
2.1744552,2.3863175
2.138425,2.3983293
2.1735609,2.3941908
2.4315658,2.4902763
2.3448799,2.4592102
2.2710688,2.3772895
2.2745457,2.4334247
2.4735475,2.4379365
2.155962,2.4538321
2.134486,2.4618137
2.1009662,2.394729
2.5004792,2.3504407
2.3280294,2.388984
2.2713397,2.4399343
2.4601512,2.350717
2.1066668,2.353071
2.3630333,2.4474435
2.1288135,2.4684212
2.2093823,2.4191716
2.1132834,2.4012198
2.3018456,2.4834082
2.2898545,2.4407175
2.2444952,2.387091
2.1727905,2.4591765
2.3457017,2.4552827
2.3025162,2.3732097
2.1123893,2.4507043
2.281877,2.4618578
2.1911607,2.3689635
2.228898,2.435349
2.2420924,2.4753253
2.1899552,2.404358
2.139038,2.3951774
2.5167732,2.4822526
2.3522234,2.4630077
2.1764364,2.4640915
2.1576066,2.368608
2.1651945,2.3513286
2.2299743,2.481599
2.1286845,2.442107
2.1827636,2.490379
2.1631186,2.4859653
2.3165553,2.4343312
2.2537696,2.45134
2.1121423,2.3997693
2.106296,2.3967733
2.2068243,2.3725047
2.527124,2.395905
2.492027,2.493321
2.2395031,2.4287822
2.2246876,2.4096797
2.3002439,2.44107
2.2386105,2.493601
2.1148357,2.4219666
2.3897982,2.3805983
2.3257167,2.4050825
2.1928046,2.4602187
2.3151793,2.48805
2.159916,2.459483
2.533608,2.3868096
2.2053246,2.4857807
2.2362368,2.3690321
2.3255987,2.3526254
2.2188022,2.466443
2.3623288,2.441586
2.2059772,2.4259367
2.1007957,2.438028
2.403776,2.3882387
2.302484,2.3677795
2.1637495,2.4785717
2.2247322,2.3698173
2.2506666,2.494835
2.429706,2.37967
2.5017107,2.4042237
2.3696964,2.3756335
2.526074,2.3970377
2.206694,2.3598237
2.129544,2.419091
2.4766502,2.3950458
2.2836635,2.405688
2.1599703,2.4633067
2.114504,2.4905343
2.2986367,2.4710658
2.1462853,2.430457
2.1617796,2.4961925
2.2844496,2.3792768
2.4045603,2.4157639
2.3111224,2.3908398
2.1453588,2.4679847
2.3642712,2.3921633
2.261096,2.409558
2.1486597,2.4312055
2.1627877,2.3558514
2.313293,2.3844025
2.206974,2.488971
2.1430635,2.4005024
2.186665,2.4211047
2.1594212,2.4791148
2.1292422,2.422127
2.3644497,2.4405932
2.2405696,2.3818529
2.3032982,2.4411807
2.286889,2.3618765
2.174388,2.364215
2.4946291,2.43176
2.2945664,2.381667
2.2709868,2.3530297
2.1383104,2.3670647
2.2194266,2.4979467
2.2594676,2.491164
2.3773913,2.3974185
2.17684,2.393456
2.1442795,2.4092953
2.1853185,2.357431
2.2916775,2.4435778
2.2713363,2.4939628
2.1833425,2.4957383
2.1285622,2.490067
2.194834,2.4206889
2.1354783,2.3965006
2.4421096,2.3551075
2.1228101,2.4847305
2.1066341,2.3759747
2.2636695,2.4200673
2.2034576,2.462107
2.110856,2.4697244
2.3691869,2.4265072
2.263441,2.4473422
2.2877793,2.364823
2.273959,2.3561218
2.1448455,2.4206266
2.1081383,2.4288082
2.405071,2.420903
2.4127438,2.4907696
2.3415983,2.3900123
2.3824239,2.478369
2.5236402,2.3573546
2.1727822,2.378561
2.2172484,2.4264553
2.242329,2.470098
2.3737495,2.355004
2.3313959,2.421445
2.219231,2.4604743
2.1987686,2.361214
2.450344,2.439824
2.2615952,2.372087
2.2222474,2.4165862
2.5446558,2.3881834
2.2708976,2.4327788
2.1972065,2.421532
2.1199412,2.373596
2.1316557,2.4811502
2.1215394,2.4592855
2.1375062,2.4120255
2.1737607,2.4147263
2.2440202,2.400115
2.2988508,2.4114435
2.1127644,2.418172
2.2196457,2.423429
2.3865995,2.3601727
2.1440475,2.3554006
2.1022124,2.4445434
2.224327,2.4289258
2.441234,2.4123313
2.146009,2.425043
2.407681,2.4721377
2.130919,2.3689537
2.1072645,2.4359813
2.2484477,2.4609587
2.1551805,2.3821511
2.2431753,2.4571126
2.1284792,2.4552977
2.2828817,2.4770906
2.142022,2.427849
2.2073774,2.4492137
2.2115757,2.357311
2.1562753,2.394067
2.3471317,2.4128315
2.1425529,2.4448793
2.515062,2.4072082
2.4140954,2.4040751
2.3335803,2.3775737
2.2455294,2.4369228
2.3392296,2.4557903
2.2148926,2.4970515
2.1692507,2.399104
2.1522381,2.3764553
2.3088617,2.4881165
2.3159811,2.3502922
2.175864,2.4710925
2.2389154,2.3929403
2.1241152,2.3659804
2.309887,2.4017425
2.3532984,2.3775384
2.3101866,2.4935634
2.4577887,2.3897603
2.5412934,2.474125
2.2678711,2.464227
2.340527,2.3586237
2.3731399,2.3610895
2.3027446,2.364609
2.2109041,2.4471383
2.1834412,2.4088917
2.183047,2.4444592
2.3542604,2.354283
2.120577,2.3651323
2.5137842,2.452185
2.155916,2.3756485
2.54508,2.4259396
2.4035504,2.373414
2.320814,2.4934344
2.1665711,2.459768
2.1176102,2.3595264
2.1401026,2.4797568
2.1754498,2.363079
2.249628,2.4564185
2.2376971,2.4044538
2.1303144,2.474595
2.4124284,2.4567873
2.1475012,2.4202337
2.4176733,2.4659693
2.3683975,2.3803208
2.403173,2.4433448
2.4103966,2.4695158
2.1547277,2.482506
2.3048484,2.4691668
2.2342439,2.443849
2.1355581,2.4244363
2.2582436,2.4684978
2.2203252,2.4964988
2.12845,2.3605077
2.2195122,2.3809383
2.1751103,2.402537
2.5299203,2.4593275
2.168531,2.3747509
