fM,fPt
1.8372421,2.578906
1.7975167,2.5500863
1.9456247,2.6668189
1.6839067,2.565566
1.7264711,2.6296735
1.8138444,2.5273736
1.748419,2.7453125
1.7062904,2.7777584
1.7351989,2.5961258
1.8210638,2.5961258
1.92185,2.5202494
1.6784757,2.7753386
1.752009,2.5589604
1.7766998,2.598728
1.9413246,2.760949
1.7942744,2.563147
1.717895,2.7953234
1.8123431,2.5235498
1.8015043,2.6227129
1.7222269,2.6399496
1.8540136,2.5338638
1.8391575,2.5141764
2.0425813,2.6645663
1.7569016,2.5500267
1.6740402,2.6866372
1.870537,2.7707734
1.6873611,2.7598412
1.886135,2.7759006
1.8598151,2.637376
1.8056204,2.5505116
1.7946991,2.6054947
1.8131036,2.6054947
1.888152,2.7124937
1.9063329,2.5931926
1.6868242,2.5505207
1.7337683,2.5191417
1.8777639,2.55186
1.8921487,2.7289784
1.8052145,2.788296
1.8964541,2.6330032
1.7017227,2.7515666
1.8511302,2.6003995
1.678745,2.5253835
1.7870709,2.724773
1.8830875,2.7325847
1.7847152,2.612651
1.8460548,2.6575544
1.8600292,2.703995
1.7109039,2.703995
2.0207665,2.754882
1.8239353,2.5809345
1.9077065,2.5497842
1.9334248,2.518445
1.691146,2.6110768
1.7242807,2.539244
1.8352913,2.7620742
1.7559605,2.7620742
1.9185233,2.5399096
1.7175994,2.618371
1.8067871,2.6751726
1.740778,2.5572524
1.9546376,2.7099462
2.024002,2.7099462
1.8144535,2.7534664
2.0178185,2.7942128
1.8640656,2.7566352
1.6968051,2.5221043
1.6922381,2.6328037
1.8070116,2.7657712
1.8334739,2.5057359
1.7922741,2.7294624
1.8108715,2.7295063
1.717464,2.6105957
1.8609804,2.7429886
1.7714908,2.5039814
1.8411095,2.6659908
2.0034626,2.6659908
1.7793449,2.6210155
1.8268822,2.7613885
1.8965403,2.7462013
2.0214467,2.7462013
1.9355688,2.6557128
1.7278718,2.5638466
1.7321898,2.783079
1.8456439,2.7490573
1.8461086,2.5322046
1.683529,2.5515969
1.8811674,2.5521722
1.706481,2.764021
1.806884,2.7011967
1.7164868,2.6459203
1.8005584,2.5047631
1.7224604,2.640196
1.7199496,2.5277522
1.6856835,2.5585215
1.992916,2.7851353
2.0534382,2.7772017
1.7221972,2.6966255
1.676867,2.5823052
2.0485675,2.718753
1.8448544,2.6579862
1.8335425,2.5990627
1.7167103,2.7255015
1.7719271,2.5818546
1.8103447,2.7681313
1.8245797,2.7494204
1.7952238,2.595205
1.9071856,2.5719528
1.6962775,2.651256
1.9746579,2.7692785
1.9612781,2.739806
1.6850699,2.6452007
1.7610457,2.5290105
1.8575516,2.7487566
1.8864535,2.794947
1.7560201,2.6860983
1.7916701,2.7284675
1.831971,2.6943696
1.6743773,2.5693946
1.7573023,2.5816054
1.7329376,2.5799935
1.8166466,2.7499003
1.9078249,2.7906199
1.7089508,2.7496457
1.845899,2.659177
1.8235486,2.659177
1.748204,2.7997873
1.706818,2.688284
1.8366711,2.6095297
1.9647622,2.7468474
1.8032396,2.6135535
1.7883577,2.787044
1.974505,2.5784075
1.8200955,2.5902758
