fM,fPt
2.260247,4.0454655
2.2090464,3.9593441
2.2599638,3.9160337
2.1301606,4.1953044
2.29061,4.128875
2.3329477,4.128875
2.483303,4.180462
2.412296,4.090985
2.4652228,3.8794534
2.4410918,3.8005178
2.2862618,3.9059222
2.4195266,3.9583647
2.367077,4.066514
2.1917582,4.033998
2.1836755,4.140389
2.3791585,4.126161
2.2835732,3.93671
2.4999466,3.863666
2.1569088,4.0336123
2.158823,3.876365
2.3219318,4.0509853
2.3709264,4.127794
2.231265,3.9833765
2.1461928,3.8727117
2.2160656,3.8911803
2.2484376,4.173112
2.429382,3.9701273
2.5457501,3.9920154
2.2418134,4.1999903
2.404181,3.8761427
2.1441977,3.8690073
2.1675456,3.9949818
2.3689487,3.9949818
2.3334184,3.9886906
2.108927,4.1497607
2.3761194,4.0155764
2.2885199,3.8708675
2.155034,3.9940963
2.2903466,3.893558
2.511021,4.0912046
2.1884694,3.9762921
2.509683,3.9789603
2.5157804,3.9549155
2.2301047,3.962056
2.169643,3.806867
2.1785617,3.8144722
2.1228704,4.01242
2.2633357,4.03684
2.4717104,3.9442933
2.4635718,3.8504806
2.3441877,4.002961
2.2481866,4.121383
2.125544,3.9514546
2.5110497,4.165794
2.1079104,4.066848
2.1599166,3.9071283
2.320476,3.8255305
2.230134,3.9388204
2.149586,3.9164743
2.337344,4.0339003
2.2391644,3.8866973
2.2544067,4.1405687
2.120447,3.9025905
2.210994,4.099022
2.1493714,3.8872237
2.403856,3.834923
2.2417195,4.01693
2.1186385,3.8990605
2.4837928,3.834035
2.1321976,4.002807
2.1708531,4.0135713
2.1443193,3.821708
2.2478824,4.0642505
2.1384835,4.031466
2.3561409,3.9997225
2.523247,4.1892266
2.138137,4.155081
2.1062582,4.155081
2.1407912,4.0486326
2.3062618,4.0672674
2.3293118,4.120842
2.1665697,3.9919703
2.1775708,3.9919703
2.4322665,4.054248
2.5061736,3.9485636
2.2800994,4.164042
2.1635852,4.030716
2.3052735,3.97069
2.178192,4.0404725
2.1523638,4.1639166
2.476948,3.9239917
2.5354939,4.1126947
2.1944046,4.1134405
2.4360545,3.8164315
2.14361,3.9000797
2.1970358,3.9000797
2.5277684,3.9418297
2.1944172,3.973304
2.4065194,4.0769877
2.1987307,4.1271377
2.4063756,4.117343
2.3164067,3.931318
2.414155,4.153467
2.236551,4.038821
2.31572,4.0882106
2.222333,3.8243783
2.4457998,3.8356576
2.4137616,4.038956
2.3426013,3.8456557
2.2778165,3.8087947
2.3354266,3.8193264
2.5129788,4.1593285
2.1660328,4.125549
2.3261845,4.15465
2.312857,4.1880164
2.3400764,4.145864
2.4710927,4.052933
2.2094612,3.8274682
2.1354017,3.8525994
2.1196482,3.80768
2.2165782,3.80768
2.1442876,4.171772
2.3406618,3.952532
2.196086,3.9131947
2.4104204,4.000639
2.156719,4.07501
2.2898355,4.134831
2.4558513,3.874407
2.111185,3.8075597
2.2857084,3.9555798
2.2721882,4.0764656
2.3237476,3.9455717
2.2805076,4.155534
2.2612147,3.9534376
2.2201355,4.0949416
2.2300704,3.8908665
2.2963576,3.9155498
2.3362288,4.1513386
2.427495,3.9400458
2.3830142,4.0517263
2.4546216,3.9218612
2.1872036,3.9895954
2.218542,3.858029
2.2131982,3.8397071
2.1851435,3.8397071
2.1994598,4.0156183
2.293033,3.8319623
2.2787342,3.913857
2.3817563,3.929967
2.242902,4.005131
2.2559938,3.9683108
2.4677272,4.1951747
2.1558316,3.8031023
2.2485673,3.8031023
2.3712935,4.0150456
2.2108483,4.120258
2.4875154,3.9794807
2.2471986,3.947746
2.2729812,4.071779
2.110011,4.163849
2.1694062,3.9119534
2.1201665,3.8035038
2.2768748,3.820295
2.1103923,4.120665
2.1305704,3.8200574
2.101171,4.17324
2.2840393,4.082809
2.5133126,4.0860662
2.4411898,3.943952
2.16727,3.8880594
2.2943516,3.8486135
2.1537712,4.056687
2.400053,4.060311
2.3646538,3.8786294
2.347866,3.8153613
2.1039705,4.179085
2.3563876,3.943568
2.1273708,3.884309
2.1334145,3.900284
2.3034823,3.801508
2.162205,4.0996904
2.231386,3.88141
2.3370547,3.8220465
2.243048,3.9956887
2.1415288,4.1050634
2.2738647,3.8094406
2.1467083,3.9704144
2.250626,3.976142
2.270727,3.8021467
2.126931,4.1612797
2.251976,3.863228
2.260075,4.1780677
2.1081462,3.9510858
2.2977324,3.9486945
2.4482641,3.8831565
2.129309,4.119658
2.322034,3.9177518
2.248476,4.087778
2.4510753,4.0470843
2.3020484,4.135348
2.1070533,4.139194
2.435551,4.1929173
2.3209765,4.0632925
2.535195,3.821592
2.2598157,3.9073005
2.4667125,4.1020555
