fM,fPt
2.2653,2.0374446
2.5082746,2.0353005
2.1219046,2.0700202
2.1155126,2.023693
2.500838,2.0109947
2.4148195,2.0595944
2.2807987,2.0010445
2.3974214,2.1433818
2.2900295,2.0090926
2.53892,2.0723505
2.2476351,2.0485141
2.4761622,2.0074568
2.1573389,2.0058835
2.182096,2.0294034
2.137415,2.0309794
2.1367579,2.1420228
2.3931682,2.0680585
2.1971855,2.1063776
2.12557,2.0617995
2.192952,2.0594652
2.2847185,2.0195513
2.1878583,2.0436745
2.126092,2.0324295
2.110018,2.1100771
2.106708,2.096411
2.1940107,2.0061505
2.4202175,2.0237577
2.3203816,2.0540369
2.1111197,2.0274243
2.5092719,2.0622454
2.1688678,2.1907012
2.4006183,2.1901836
2.191415,2.0389304
2.439532,2.0042038
2.3112876,2.14666
2.1721416,2.0490923
2.5413594,2.0629294
2.509,2.0228224
2.192447,2.1687078
2.40091,2.0274458
2.5490837,2.0451543
2.2238638,2.0413558
2.3206704,2.1425672
2.2164037,2.0171602
2.2622747,2.0090067
2.1353133,2.1608667
2.4039898,2.0179179
2.3242047,2.0152
2.514526,2.1928635
2.4941816,2.0826378
2.3530428,2.021893
2.3751726,2.1117089
2.2020469,2.0528958
2.1189334,2.087049
2.3147345,2.0746245
2.2059581,2.09093
2.2960243,2.113563
2.2851408,2.046281
2.4577692,2.0082047
2.4018943,2.0298724
2.4747908,2.1487615
2.2204077,2.1503522
2.3314104,2.1683004
2.1714516,2.086376
2.135626,2.152329
2.50197,2.1152978
2.2109659,2.0756176
2.2085676,2.0026236
2.357413,2.041929
2.171176,2.1882946
2.3181987,2.022843
2.3839653,2.1870046
2.1182177,2.072348
2.429009,2.009205
2.3771057,2.0193038
2.4999757,2.0135791
2.2424402,2.0001054
2.4913833,2.0373611
2.1525905,2.0774229
2.1637135,2.0333426
2.1436856,2.0032005
2.3755243,2.0846717
2.1483378,2.0308955
2.1726832,2.0430586
2.4238653,2.058573
2.2563384,2.0196767
2.52584,2.0321372
2.1320598,2.0086083
2.2781572,2.0677822
2.2075222,2.1677196
2.2784615,2.007493
2.493018,2.055063
2.2215233,2.0356665
2.2495842,2.137308
2.3612494,2.0279024
2.3229554,2.0396335
2.290384,2.0768523
2.159419,2.0083659
2.1382055,2.0543427
2.1989253,2.068421
2.3793242,2.0482073
2.143467,2.1191416
2.3733907,2.0401154
2.323638,2.0384028
2.1988864,2.0355806
2.3656693,2.0151968
2.3261058,2.0519335
2.3634415,2.021228
2.2574182,2.0126135
2.4617195,2.089369
2.1407442,2.032523
2.262882,2.0284982
2.1112914,2.0580316
2.3557408,2.0428023
2.2230577,2.1716416
2.1451664,2.048209
2.2283099,2.162069
2.4225116,2.1491804
2.5286562,2.0830903
2.2628477,2.0416584
2.2225404,2.018486
2.1605263,2.0967298
2.1835873,2.0080955
2.1998923,2.009255
2.2727156,2.1950657
