fM,fPt
1.7428448,1.7097051
1.7404176,1.538923
1.8034533,1.538923
1.8515588,1.6466017
1.7594316,1.6584147
1.6836643,1.7464664
2.0240731,1.6601748
1.840434,1.5698963
1.6780375,1.5433047
1.9035784,1.6002884
1.7333827,1.7459885
1.7846799,1.7459885
1.7685317,1.521541
1.8342384,1.521541
1.8994526,1.6446886
1.9171405,1.5402318
1.7642746,1.6169564
1.6794496,1.6255927
1.7591622,1.5116292
1.6781827,1.6189146
1.7137682,1.6413924
1.9314723,1.7438151
1.9525714,1.7267926
1.7578641,1.5243534
1.7068087,1.6127886
1.8134224,1.56397
1.9439709,1.6211482
1.833161,1.6793916
1.7505603,1.7149532
1.927383,1.5621217
2.0194676,1.6682221
1.838395,1.5528558
1.8318299,1.7436469
1.7527604,1.5586691
1.6824638,1.631255
1.9117827,1.6151351
1.6958486,1.7097216
1.8021489,1.7227442
1.8271024,1.5148424
1.6907545,1.5961999
1.6801438,1.6569556
1.8723178,1.6781499
1.8156233,1.5692152
1.8729628,1.5155115
1.8151686,1.6090426
1.7425753,1.5509245
1.8005574,1.6526607
1.9295266,1.5742127
1.8351531,1.7122469
1.7425365,1.6554617
1.8902943,1.7457625
2.0589383,1.6197654
1.9890665,1.6332792
1.7306154,1.6957287
1.9954188,1.5494426
1.9211376,1.5298831
1.9767212,1.5298831
1.8907528,1.6496506
1.6750956,1.6702124
1.6784201,1.6702124
1.9322616,1.5455055
1.737493,1.5328937
1.856798,1.5056856
1.993441,1.5804098
1.7179036,1.663806
1.9945337,1.5451313
1.8641607,1.6586145
1.8863462,1.6586145
1.8116286,1.7211609
1.8979443,1.544594
1.8698063,1.729447
1.8626275,1.6732618
1.753226,1.6582656
1.8600012,1.6141938
2.0135074,1.599192
1.9090762,1.5545107
1.8881152,1.5545107
1.9914616,1.5398388
1.8804299,1.6785519
2.0546443,1.5914518
1.6994793,1.5020764
1.7469562,1.735965
1.8836955,1.727299
1.8196521,1.727299
1.79853,1.6074263
1.8024822,1.7163353
1.8193512,1.6920853
1.9132112,1.7172339
1.865067,1.5611962
2.0373163,1.6783564
1.9769262,1.5839392
1.8723122,1.6640861
1.6718127,1.5942028
1.7974834,1.7411854
1.7870702,1.5304757
2.0147612,1.7392151
1.9415607,1.7392151
1.9021859,1.5616355
1.731444,1.5865997
2.0037677,1.641028
1.7297895,1.6402178
1.7955768,1.60519
1.7373686,1.5717266
2.0399477,1.5846496
1.7881957,1.6191425
1.826078,1.6191425
1.7174995,1.6770399
1.9034662,1.5974288
1.8972075,1.6439003
1.968241,1.692768
1.7796664,1.563724
1.6829011,1.523626
1.6815628,1.523626
1.7689984,1.6841393
1.8200144,1.6233379
1.8667697,1.659636
1.8498211,1.6287494
1.8645077,1.51606
1.8512552,1.7467235
1.9571762,1.5314653
1.9381392,1.7461702
1.8559191,1.7461702
1.9832337,1.6341636
1.682857,1.7367157
1.9803416,1.572324
1.9212424,1.5238299
1.7141017,1.6555924
2.0484068,1.6410769
1.9965007,1.7356378
1.8996533,1.7146381
1.7833472,1.519137
1.8057739,1.519137
2.0076292,1.569023
1.8844486,1.579479
1.7838917,1.5148592
1.7168525,1.5781679
1.6798044,1.7218221
1.8711444,1.7328432
1.9039702,1.7328432
1.7930981,1.6046755
1.6826259,1.6641924
1.684579,1.6641924
1.8588635,1.5716538
2.0270765,1.6308755
1.9147543,1.7253984
1.9768467,1.7253984
1.8420306,1.5347557
1.9346122,1.7189127
1.7023152,1.5476832
1.9985316,1.7380371
1.8062359,1.6722026
1.8033677,1.6867882
1.7594378,1.6867882
1.8324649,1.6054258
1.7218274,1.6561913
1.8228219,1.5842571
1.8834984,1.6367514
1.845126,1.6600639
2.0052888,1.5799549
2.025531,1.5457494
2.0141878,1.5457494
1.8690498,1.7371161
1.9048527,1.7306148
1.9187613,1.7306148
1.9587444,1.6820223
1.7601035,1.6712043
1.9585745,1.6432312
1.782066,1.5314977
1.9852266,1.5617596
1.8926352,1.5217845
1.7665712,1.7282172
1.8923352,1.7156171
1.8224417,1.5393873
1.9749806,1.6377168
1.9298334,1.5310051
1.8651587,1.5310051
1.6808137,1.5969837
2.0049727,1.5928069
1.8644361,1.5553223
1.7132162,1.6705397
1.7184132,1.6705397
1.7531718,1.5545961
1.7226892,1.6830409
1.8860859,1.6343793
1.7223514,1.6248027
1.9656075,1.7456518
1.7592145,1.5146321
1.6891519,1.6411817
1.8462704,1.6907839
1.8460939,1.7436601
1.7104224,1.5497352
2.0374427,1.6760201
1.6930199,1.6287415
1.8848447,1.5183709
1.725708,1.6225086
1.7035624,1.7101071
1.9837205,1.5683372
1.8622541,1.6146204
2.0461218,1.6210548
1.8236818,1.6791675
1.8907212,1.6250744
1.8822981,1.6815605
1.8710485,1.6815605
1.8032093,1.6960552
1.6957195,1.6264863
1.9477953,1.7458647
1.8722901,1.5153009
1.6791457,1.7328008
1.7619971,1.6658901
1.7330031,1.5501225
1.701965,1.5501225
1.8281827,1.6840038
1.8617437,1.6583441
1.7592399,1.563365
1.7487981,1.5582719
1.7036902,1.634265
1.7591608,1.6067919
1.8355092,1.7250066
1.8973154,1.67724
1.9772555,1.5862361
1.8703216,1.5473936
1.9296721,1.5473936
1.7524979,1.7367883
2.0261207,1.5290909
1.6868907,1.6435494
1.6708142,1.5830454
2.0438223,1.5072519
2.0243087,1.7421942
1.9065437,1.6040987
1.7827222,1.5019777
1.8854167,1.528304
1.7193791,1.5900842
1.6758167,1.5900842
1.8608379,1.5403442
1.9471685,1.5403442
1.754058,1.708088
1.7609987,1.5615829
1.6895686,1.6500833
1.7570795,1.5569212
1.8355807,1.6319077
1.8143711,1.6812508
1.8370669,1.6812508
2.00098,1.6336097
1.8728392,1.631996
1.8850825,1.6603886
1.6961825,1.587173
1.7838393,1.5912895
1.9248462,1.6887907
2.053538,1.6849061
1.8659325,1.5721384
1.6961398,1.5029373
1.7229527,1.6720055
1.9298272,1.7195659
1.8491935,1.6563636
1.7797767,1.6545229
1.964039,1.6811011
1.6849931,1.5211421
1.7409893,1.5211421
1.7304529,1.6476979
1.6800913,1.6812015
1.8611184,1.5895072
1.9825902,1.7094625
1.6722741,1.5182388
1.7715906,1.5078874
1.7184435,1.7091038
1.7353833,1.6286047
1.9174176,1.5845674
1.7663227,1.5412087
1.6850595,1.5540767
1.7426289,1.6445925
1.9515886,1.5392379
1.671362,1.5827295
1.8554457,1.5312107
1.9248061,1.5312107
1.7967842,1.5120773
1.8811355,1.6657544
1.83564,1.6657544
1.8255024,1.6478126
1.7510618,1.510194
1.7793348,1.510194
1.8040287,1.5950719
1.8987256,1.5361109
1.8384727,1.7020253
1.9729378,1.5124098
1.6718887,1.5811847
1.8217645,1.6755047
1.6735525,1.5492691
1.7894,1.612512
1.8599539,1.5114676
1.6976202,1.6804882
1.8946482,1.6159064
1.8294075,1.5314144
1.8676511,1.5775179
1.6898214,1.6808814
2.0410361,1.5468466
1.7907841,1.512911
1.7494888,1.6232934
1.8316945,1.61064
1.6848772,1.6414273
1.9061967,1.5084498
1.9678662,1.5293205
1.6798457,1.6497777
1.7274095,1.5359
1.7562653,1.6714315
1.9417188,1.6720542
1.6937174,1.7139729
1.9256185,1.6015958
