,Index,Interval,Background cut,Beauty cut,Signal cut,Efficiency,Beauty Efficiency
0,0,"(3.1, 3.3)",0.10125290039754486,0.5274472530582094,0.3318733587176493,0.01827738481521042,0.009455836546562343
1,1,"(3.3, 3.5)",0.1140440106892938,0.2817730555388183,0.673905837207656,0.01582966764297539,0.005960234779528643
2,2,"(3.5, 3.8)",0.22639559735740933,0.7529249770744031,0.1942284074704445,0.04271558802439064,0.02417905223460318
3,3,"(3.8, 4.2)",0.25200271295518706,0.6434915461702961,0.5209967062725792,0.04988428372871088,0.01969842809315546
4,4,"(4.2, 4.8)",0.11361691513753841,0.41977253589565183,0.5714490140016799,0.04369844037488119,0.017519984346168516
