fM,fPt
1.8143624,1.2406423
1.8606325,1.1001879
1.9421179,1.1949452
1.7689756,1.2037915
1.8329024,1.1138117
1.8345404,1.1598728
1.8320616,1.0015166
1.8163022,1.1538053
1.8647935,1.1538053
1.7301981,1.0173557
1.8521503,1.2090111
1.7789795,1.1712607
1.9904375,1.1853784
1.8224313,1.0402884
1.9959261,1.1685424
2.0517623,1.1685424
1.711858,1.22262
1.7521796,1.0923558
1.7325652,1.0923558
1.7752758,1.1024474
1.6804105,1.0280292
1.7754151,1.1235516
2.0047581,1.0527915
1.6765223,1.0972643
1.7623411,1.2140856
1.8385838,1.2254399
1.704441,1.2414918
1.6911793,1.158392
1.8739233,1.1641028
1.7351599,1.1094164
1.7574332,1.1350584
1.8532703,1.0071017
1.7059021,1.0306622
1.6988416,1.153148
1.9440656,1.1225213
1.8845135,1.0829458
1.8092464,1.1549934
1.74456,1.2041765
1.8954601,1.016062
1.8499992,1.1121413
1.844379,1.1859084
1.7102069,1.030234
2.0529459,1.0624185
1.7651768,1.0453227
1.7542604,1.0453227
1.7016771,1.2225984
1.9146363,1.06047
1.6904026,1.2017388
1.6910163,1.0273111
1.720003,1.1870296
2.015076,1.2379156
1.9846506,1.2014753
1.9183707,1.2014753
1.7666669,1.1681801
1.8402413,1.0660663
1.8598968,1.1819191
1.7646624,1.0507818
1.9688889,1.1458492
2.0297914,1.1267123
1.7329925,1.0398942
1.8654497,1.0554923
1.8585726,1.1989155
1.9288268,1.1142126
1.789897,1.1385235
1.7161925,1.0504501
1.7485251,1.0695759
1.7196782,1.0695759
1.7148088,1.0826733
1.7899773,1.196254
1.716644,1.2389601
1.7027731,1.2389601
1.9024003,1.1301577
1.818554,1.0214827
2.0072703,1.1336535
1.9866843,1.1336535
1.8447659,1.1630927
1.6708533,1.0886818
1.7889774,1.1262197
1.7147439,1.2470012
1.7454995,1.087833
2.0361683,1.0969629
1.7909089,1.1301439
1.744324,1.0763007
1.7263705,1.1912807
1.918964,1.1563728
1.7954115,1.2007113
1.702091,1.0487592
1.8752298,1.1861839
1.8430965,1.0125028
1.9231246,1.0312741
1.6849828,1.0738903
1.8158517,1.1096343
1.8690958,1.0420153
1.9708813,1.0897532
1.6844426,1.1836646
1.7904403,1.0697595
1.8407323,1.0697595
2.012893,1.0648504
1.9519998,1.0246059
1.7903916,1.1886686
1.7258786,1.173582
2.0047715,1.2011534
1.8408753,1.0873116
1.8059725,1.1175408
1.6926483,1.2481418
1.9384049,1.1630328
1.9943038,1.0780369
1.9590499,1.0186378
1.8323432,1.1493826
1.9706663,1.2116568
1.9106994,1.0410236
1.8975303,1.0410236
1.6892288,1.2027826
1.69102,1.0330023
1.8591838,1.005906
1.6920419,1.0906017
1.6933727,1.1694144
1.8931795,1.0224705
1.8238583,1.0647733
1.7425599,1.2335008
1.839594,1.1509249
1.8435518,1.1509249
1.9800519,1.0325233
