fM,fPt
2.1499355,3.3306353
2.2422345,3.4570053
2.1042752,3.363906
2.5230432,3.463276
2.2045739,3.3293893
2.264026,3.3243215
2.1263647,3.4327252
2.2046561,3.3699322
2.4315698,3.3106594
2.277073,3.4156961
2.348306,3.4465098
2.294082,3.4893043
2.182908,3.4959443
2.3369691,3.4970162
2.3250728,3.343726
2.2608674,3.3713052
2.3707814,3.3877273
2.3949375,3.3877273
2.5124052,3.4055996
2.248113,3.3155124
2.2379706,3.3280063
2.1881838,3.4616098
2.1035025,3.4241195
2.1444314,3.369266
2.1042776,3.3128996
2.1682205,3.317642
2.1151383,3.3817563
2.418926,3.4464946
2.275952,3.4476988
2.2031286,3.3195012
2.2552252,3.4616954
2.138666,3.4504135
2.3104653,3.3525076
2.1138449,3.4979181
2.207034,3.4163802
2.5360346,3.3547542
2.2014673,3.4087873
2.2528932,3.332937
2.4065259,3.4902844
2.1912978,3.356863
2.1235032,3.418007
2.2845638,3.385663
2.4721227,3.365988
2.3346412,3.3365932
2.4240904,3.4926832
2.518083,3.4926832
2.1360488,3.3340056
2.2513223,3.374502
2.3111095,3.3755476
2.3105156,3.4379537
2.2000735,3.4023297
2.2908516,3.4438791
2.3229773,3.4954865
2.1936631,3.469393
2.2986887,3.4034154
2.1666007,3.3975983
2.2592304,3.371142
2.229074,3.3995457
2.1446705,3.3655753
2.1008394,3.321134
2.4141877,3.4162698
2.285362,3.4327726
2.3102608,3.4810126
2.1854184,3.3182285
2.1180325,3.3533182
2.2308824,3.391848
2.2008417,3.4920952
2.111289,3.345741
2.5350482,3.325111
2.1879878,3.3002577
2.2519743,3.3837018
2.4049819,3.3959098
2.1161678,3.4135773
2.1655612,3.4904869
2.2669668,3.3411825
2.1031098,3.415692
2.277523,3.3116398
2.1852272,3.4590013
2.20235,3.3706038
2.1227396,3.3088255
2.1133082,3.4151423
2.4883227,3.4745865
2.153909,3.366568
2.3593524,3.3013167
2.1056845,3.4414206
2.3818667,3.3605273
2.4862761,3.321228
2.1212907,3.4499767
2.1509283,3.4034941
2.2448168,3.3444636
2.5179355,3.4840817
2.3419726,3.4417179
2.4462113,3.3306038
2.2227833,3.412761
2.138683,3.324952
2.117939,3.303095
2.2760134,3.4492269
2.1264265,3.487825
2.1727843,3.3515632
2.2457814,3.4702573
2.1430163,3.376741
2.192978,3.4495382
2.4444237,3.3932607
2.3542802,3.448079
2.2439132,3.4347928
2.1155465,3.3460362
2.5440993,3.3987436
2.4264393,3.3452086
2.210606,3.4280937
2.3098981,3.405656
2.474583,3.45009
2.3414793,3.41632
2.2585945,3.4903631
2.5128677,3.3442998
2.1814787,3.301524
2.2244792,3.3301265
2.2176125,3.4514005
2.2502692,3.3713675
2.1425292,3.399833
2.518041,3.417738
2.2787218,3.3616815
2.1786869,3.4153926
2.2641287,3.4610596
2.3588898,3.3026307
2.4383404,3.3631992
2.1139903,3.3252263
2.275554,3.3689911
2.115956,3.305922
2.1231542,3.305922
2.2508352,3.4638026
2.215079,3.4206784
2.2774885,3.3173616
2.160927,3.3670323
2.2820249,3.343619
2.25677,3.4567242
2.1065526,3.4839358
2.3726604,3.3657312
2.1118088,3.4809215
2.5231228,3.3084295
2.3624172,3.425377
2.180768,3.363998
2.1271489,3.4147482
2.1340694,3.3097095
2.1657815,3.4784522
