fM,fPt
1.8612053,2.1136549
1.8417131,2.0457306
1.9233941,2.0457306
1.9722307,2.1532753
2.0533009,2.0400434
1.9925787,2.0400434
1.8846362,2.1333995
1.7954215,2.1333995
1.7309258,2.016065
1.6738192,2.0993266
1.8696672,2.1522284
1.6907208,2.1873422
1.888178,2.080972
1.8875924,2.1109393
1.8214538,2.1362507
1.6850148,2.1377604
2.0266972,2.006651
1.8528335,2.0678809
2.0108252,2.054534
1.854987,2.1632924
1.7428397,2.1224253
1.7496502,2.0134437
2.053434,2.0513182
1.7756842,2.100873
1.7100161,2.009916
1.8132595,2.0734677
1.7366849,2.174065
1.7719526,2.0519087
1.795489,2.0276423
1.718324,2.0246572
1.8106264,2.1081572
1.8595226,2.1790497
1.8213233,2.1232843
1.7294782,2.0693865
1.933804,2.0135872
1.886852,2.0135872
1.8890066,2.1481106
1.742278,2.1314094
1.6797094,2.0880215
1.7371448,2.0976715
1.9003496,2.1236355
1.7283913,2.1502287
1.6755539,2.1502287
1.8422729,2.0012083
1.7129194,2.1655054
1.7974173,2.0670183
1.6994021,2.0682855
1.7852443,2.1085663
1.77868,2.1085663
1.8210307,2.0815263
1.8537751,2.0602705
1.7236329,2.0464153
1.7134919,2.1931913
1.6912637,2.1931913
2.0306633,2.187402
1.7046784,2.1127813
1.7013445,2.026053
1.7625692,2.177223
2.0501313,2.1218889
1.8601863,2.1024442
1.7813572,2.0872207
1.780619,2.0105166
2.0111992,2.1005614
1.7444901,2.0253844
1.7223938,2.1532598
1.8902963,2.1882927
1.734577,2.1809514
1.8808161,2.086717
1.8460386,2.0839844
1.6900672,2.000241
1.796929,2.1510887
1.7518444,2.0855606
1.9648858,2.0818453
2.0308628,2.0818453
1.8656825,2.1011038
1.9533377,2.0544631
1.8080838,2.0354006
1.8292919,2.072527
1.6880414,2.0295734
1.8391654,2.099407
1.7898314,2.12074
1.859975,2.0657012
1.6745038,2.1111565
1.8175551,2.1218846
1.8736073,2.1218846
1.8308784,2.0546079
1.9882317,2.12258
1.8417603,2.1513832
1.7234166,2.1155756
1.7724122,2.1155756
1.8277026,2.091847
1.7193853,2.1998734
1.6945351,2.119112
1.7950842,2.119112
1.9287393,2.123277
1.7769377,2.0555246
1.8711095,2.0720842
1.7594634,2.0720842
1.7373585,2.0563905
1.8675555,2.1675375
2.0050356,2.182278
1.9743878,2.0446851
1.8705297,2.0288064
1.839184,2.0288064
1.7320241,2.070772
1.6954083,2.1936634
1.8047861,2.125794
1.912432,2.055044
1.8516285,2.1453054
1.9348457,2.15347
1.7487202,2.112244
1.7775792,2.0874784
1.8550608,2.0791214
1.860812,2.0781457
1.8931866,2.1649547
1.6976619,2.1354818
1.8465315,2.1451216
1.9832941,2.149514
1.8258699,2.1681917
1.8463207,2.1681917
1.8802047,2.0401263
1.8089175,2.0401263
1.6968528,2.11681
1.7338239,2.1833403
1.8726641,2.0669806
1.8822879,2.0669806
1.7461283,2.1138668
1.7061335,2.087264
1.6834784,2.1639447
1.9824976,2.1546562
1.9328196,2.1546562
1.8843938,2.1207175
1.7164633,2.0195458
1.6766973,2.082743
1.8051833,2.1903522
1.696515,2.0063798
1.8157731,2.118609
1.7580178,2.118609
