,Index,Interval,Background cut,Beauty cut,Signal cut,Efficiency,Beauty Efficiency
0,0,"(2, 2.2)",0.10363377917758423,0.4988525811123975,0.4266796427438424,0.06290436115475995,0.03145306928156008
1,1,"(2.2, 2.5)",0.2170812523417191,0.797491479936612,0.5790476795655122,0.08141979176011958,0.03417106696137043
2,2,"(2.5, 2.8)",0.10079578731560652,0.39658612962503087,0.5590913203881395,0.08493002715764661,0.03465594218258768
3,3,"(2.8, 3.2)",0.10196868560440461,0.429065416288036,0.2609241995836021,0.10375056838527934,0.04070957049412977
