fM,fPt
1.7501242,1.8690163
1.6932906,1.9350146
1.7393031,1.880558
1.85363,1.8421803
1.9734,1.8041092
1.7873513,1.7547005
1.7477727,1.953493
1.809622,1.7587138
1.7986972,1.808397
1.7902275,1.9956365
1.794405,1.9982289
1.9783946,1.7766408
1.7231562,1.9888328
2.0064135,1.8478881
1.8422189,1.7549858
1.8894279,1.8871207
1.998727,1.9321177
1.8734915,1.7691989
1.7119036,1.977051
1.7597363,1.940988
1.7699304,1.958803
1.788806,1.8746817
1.7917875,1.9483018
1.8717778,1.8259633
1.6907209,1.9119256
1.8718815,1.9691142
1.9426464,1.9691142
2.0343852,1.7832345
1.7119764,1.8925607
1.6712244,1.9631716
1.6890887,1.9631716
1.8890128,1.9289212
1.6752276,1.8282423
1.7636272,1.934285
1.9209001,1.906889
1.7641351,1.8788669
1.6996274,1.8291487
1.7769085,1.7969238
1.8180203,1.9395239
1.8947506,1.9178094
1.7145135,1.8209543
1.8857307,1.7568244
1.882684,1.9586816
1.9937489,1.9811426
1.819417,1.8626105
1.7851468,1.8933359
1.7279598,1.8933359
1.8749082,1.754938
1.8741912,1.9831096
1.8979089,1.8013567
1.7546045,1.9284258
1.8803139,1.7601639
1.7542901,1.9720923
1.7995889,1.8425817
1.9287046,1.8218712
1.7114115,1.814104
1.7809327,1.7958285
1.6894284,1.9486885
1.7762341,1.951337
1.6824982,1.916807
1.69186,1.9998525
1.7810133,1.9676762
1.6914943,1.9676762
1.9879248,1.9138473
2.0472517,1.9138473
1.9101318,1.7833946
1.7662345,1.8063631
1.9452102,1.8525127
1.6970117,1.922369
1.8681902,1.9403305
2.0558665,1.871652
1.6922331,1.8497423
1.8224694,1.8968582
1.7580252,1.7788997
1.8436337,1.9981403
1.8254868,1.7716335
1.6770388,1.869315
1.976085,1.8042384
2.044009,1.8834714
1.7785574,1.9136784
1.9976845,1.9316179
1.6828324,1.8719447
1.9377196,1.861606
1.6887075,1.7603929
1.7330769,1.829249
1.6933739,1.9991972
1.9044507,1.7912526
1.9771647,1.7503912
1.8292737,1.9391433
1.8051156,1.9951117
